#Results,HTTP requests,Query execution time,CPU load,Memory usage
Query 1 - 10 persons - probability 0.0002
Query 5 - 3500 persons - probability 0.0002
10,1759,29.534,11.82,745.34
10,1759,28.639,11.84,744.99
10,1759,29.332,11.84,741.67
Query 5 - 3500 persons - probability 0.25
10,3655,43.122,11.31,1493.98
10,3655,40.849,11.22,1488.55
10,3655,39.198,11.57,1489.13
Query 5 - 3500 persons - probability 0.5
10,7492,62.911,11.16,1152.21
10,7492,58.928,11.11,1140.15
10,7492,58.558,10.96,1517.50
Query 6 - 10 persons - probability 0.0002
0,7,0.082,14.16,64.92
0,7,0.101,11.63,65.11
0,7,0.074,10.81,65.17
Query 6 - 10 persons - probability 0.25
0,9,0.113,12.17,65.08
0,9,0.112,13.95,65.36
0,9,0.114,12.06,64.87
Query 6 - 10 persons - probability 0.5
0,9,0.120,9.71,64.77
0,9,0.124,15.60,65.63
0,9,0.118,18.33,65.06
Query 6 - 100 persons - probability 0.0002
1,65,0.714,15.02,102.75
1,65,0.677,14.42,101.78
1,65,0.652,16.20,102.18
Query 6 - 100 persons - probability 0.25
1,82,0.698,14.85,100.02
1,82,0.709,17.61,102.36
1,82,0.696,16.85,102.84
Query 6 - 100 persons - probability 0.5
1,90,0.754,14.77,106.42
1,90,0.777,14.32,104.24
1,90,0.776,15.83,107.48
Query 6 - 500 persons - probability 0.0002
7,307,5.041,13.48,174.22
7,307,4.631,13.20,174.36
7,307,4.553,13.77,174.38
Query 6 - 500 persons - probability 0.25
7,556,5.426,13.75,230.87
7,556,5.458,13.63,238.81
7,556,5.418,14.31,230.57
Query 6 - 500 persons - probability 0.5
7,1045,7.090,13.86,440.46
7,1045,7.182,13.57,440.45
7,1045,7.214,13.64,437.70
Query 6 - 1000 persons - probability 0.0002
14,609,14.405,12.79,245.70
14,609,13.932,13.19,258.34
14,609,13.946,13.19,250.43
Query 6 - 1000 persons - probability 0.25
14,1205,16.174,12.90,447.06
14,1205,16.625,12.95,447.35
14,1205,15.834,13.06,445.81
Query 6 - 1000 persons - probability 0.5
14,3034,22.209,13.20,353.55
14,3034,23.132,13.15,1134.92
14,3034,22.711,12.87,353.88
Query 6 - 2000 persons - probability 0.0002
32,1187,60.645,11.92,505.95
32,1187,57.065,12.20,496.75
