Query execution time,CPU load,Memory usage,#Results,HTTP requests
Query 7 - 100 persons - probability 0.01
0.593,12.84,85.49,1,31
0.552,14.49,85.43,1,31
0.694,12.63,85.41,1,31
Query 7 - 100 persons - probability 0.016
0.801,13.64,85.33,1,31
0.754,13.20,85.93,1,31
0.660,14.16,85.68,1,31
Query 7 - 500 persons - probability 0.001
4.983,12.66,121.49,3,120
4.059,13.23,122.98,3,120
4.033,13.22,124.93,3,120
Query 7 - 500 persons - probability 0.01
6.306,12.85,129.44,3,146
5.517,11.65,129.50,3,146
4.234,12.68,130.62,3,146
Query 7 - 500 persons - probability 0.016
4.180,13.41,131.04,3,153
4.476,13.48,129.91,3,153
5.199,12.77,131.04,3,153
Query 7 - 1000 persons - probability 0.001
14.056,12.56,171.80,7,264
12.943,12.87,171.53,7,264
13.757,12.48,171.65,7,264
Query 7 - 1000 persons - probability 0.01
13.268,12.62,189.53,7,308
12.852,12.40,189.23,7,308
12.876,12.44,189.66,7,308
Query 7 - 1000 persons - probability 0.016
13.613,12.67,204.62,7,340
13.242,12.62,204.20,7,340
13.026,12.52,203.10,7,340
Query 7 - 2000 persons - probability 0.001
55.171,12.43,204.84,21,560
53.993,12.56,183.08,21,560
59.645,12.51,297.88,21,560
Query 7 - 2000 persons - probability 0.01
54.526,12.54,317.63,21,626
53.761,12.56,317.09,21,626
53.950,12.52,316.89,21,626
Query 7 - 2000 persons - probability 0.016
54.542,12.54,326.77,21,707
54.156,12.50,319.84,21,707
54.276,12.55,321.59,21,707
Query 7 - 3500 persons - probability 0.001
161.862,12.55,169.82,33,1034
161.254,12.51,170.80,33,1034
160.582,12.55,178.85,33,1034
Query 7 - 3500 persons - probability 0.01
160.202,12.53,199.50,33,1168
161.430,12.54,198.07,33,1168
162.049,12.55,197.43,33,1168
Query 7 - 3500 persons - probability 0.016
161.545,12.53,227.08,33,1310
160.708,12.54,203.55,33,1310
161.457,12.51,225.38,33,1310
Query 8 - 10 persons - probability 0.001
0.148,13.18,66.46,1,10
0.141,12.41,66.61,1,10
